,id,start point x,start point y,end point x,end point y,length,predecessor element id,predecessor element type,successor element id,successor element type
0,0,-5.369999885559082,-294.6999816894531,-5.45182829613189,-198.23267393511296,96.46736456534316,2,road,230,junction
1,1,-5.455420517059549,-182.32271194471792,-5.35999965750488,-117.55999792672368,64.76282631485056,230,junction,16,road
2,2,4.619999885559082,-304.55999755859375,-5.369999348860762,-294.7003196551208,16.23020605720893,18,road,0,road
3,3,181.5,-107.41999816894531,191.73999077757074,-118.06959979604507,16.55567071599208,12,road,15,road
4,4,3.4000991660632014,-189.553798399851,36.31072118774593,-189.56888363763662,32.910625478991854,230,junction,125,junction
5,5,51.034777059612374,-189.57563270132337,126.76282141926669,-189.61034415574235,75.72805231499645,125,junction,265,junction
6,6,141.0772707837376,-189.6169054681445,183.58827342312105,-189.6363912312181,42.51100710522664,265,junction,160,junction
7,7,43.8593590971136,-297.2139172589979,43.8550083970078,-247.12195404525673,50.091963402679596,195,junction,55,junction
8,8,43.8536352602069,-231.312287452394,43.85079249118753,-198.58195033871885,32.73033723712844,55,junction,125,junction
9,9,134.11735994144325,-231.66971948312343,134.15144809973816,-198.04039383217432,33.629342927570264,90,junction,265,junction
10,10,183.43136241183984,-238.95494019724262,141.82184546550428,-238.92967399273752,41.60952461742956,20,junction,90,junction
11,11,125.74426940404261,-238.91991133855342,51.97782575133523,-238.8751187481144,73.76645725222414,90,junction,55,junction
12,12,181.5,-107.41999816894531,4.800000177488556,-107.54999542068973,176.70031581239377,3,road,16,road
13,13,191.6699981689453,-294.5799865722656,191.6992350230268,-247.34996356696783,47.230033319109616,17,road,20,junction
14,14,191.69565060152536,-231.4958676758634,191.68793402036422,-197.36499952026682,34.13086902790995,20,junction,160,junction
15,15,191.68453764576952,-182.34264556869277,191.7399902342411,-118.06999979339092,64.27268687166863,160,junction,3,road
16,16,-5.359999656677246,-117.55999755859375,4.799619608774273,-107.54999680117663,16.03665688614517,1,road,12,road
17,17,191.6699981689453,-294.5799865722656,180.82040022998908,-304.4999994320392,16.366044528056165,13,road,19,road
18,18,4.619999885559082,-304.55999755859375,36.31108384155143,-304.5383957887657,31.691091318258753,2,road,195,junction
19,19,51.826932726088174,-304.53108219734145,180.81999193860761,-304.5000000001742,128.9931051176182,195,junction,17,road
20,21,183.4313624118398,-238.95494019724262,191.6992350230268,-247.34996356696783,13.659332323455038,10,road,13,road
21,26,183.4313624118398,-238.95494019724262,191.69923495607404,-247.34966743090118,13.436964451965904,10,road,13,road
22,29,183.43136241183984,-238.95494019724268,191.69565060152536,-231.4958676758634,12.903010455944557,10,road,14,road
23,32,183.4313624118398,-238.95494019724262,191.69565060152536,-231.4958676758634,12.889330033322938,10,road,14,road
24,45,191.6992350230268,-247.34996356696783,191.69565060152536,-231.4958676758634,15.85409629630184,13,road,14,road
25,46,191.6992350230268,-247.34996356696783,191.69565060152536,-231.4958676758634,15.85409629630184,13,road,14,road
26,66,43.8550083970078,-247.12195404525676,43.85363526020691,-231.312287452394,15.809666652494151,7,road,8,road
27,67,43.8550083970078,-247.12195404525676,43.85363526020691,-231.312287452394,15.809666652494151,7,road,8,road
28,70,43.8550083970078,-247.12195404525676,51.977825751335246,-238.8751187481144,13.547872486247737,7,road,11,road
29,74,43.8550083970078,-247.12195404525676,51.97782575133522,-238.8751187481144,13.482403066130082,7,road,11,road
30,79,43.85363526020691,-231.312287452394,51.97782575133522,-238.8751187481144,12.936281214208408,8,road,11,road
31,83,43.85363526020691,-231.312287452394,51.97782575133522,-238.8751187481144,14.056301281817259,8,road,11,road
32,91,141.82184546550428,-238.92967399273755,134.11735994144325,-231.66971948312343,12.374325423387178,10,road,9,road
33,97,141.82184546550428,-238.92967399273755,134.11735994144325,-231.66971948312343,12.131752778549874,10,road,9,road
34,110,141.82184546550428,-238.92967399273755,125.74426940404261,-238.91991133855342,16.077579025509465,10,road,11,road
35,111,141.82184546550428,-238.92967399273755,125.74426940404261,-238.91991133855342,16.077579025509465,10,road,11,road
36,119,134.11735994144325,-231.66971948312343,125.74426940404261,-238.91991133855342,12.80171210033134,9,road,11,road
